description,obligations,percents,keys
INTERNATIONAL AFFAIRS & COOPERATION R&D,-190917.33,-4.60E-06,world
SOCIAL SERVICES R&D,18503076.74,0.000446121,hands-heart
AGRICULTURE R&D,35447977.84,0.000854673,wheat
TRANSPORTATION (MODAL) R&D,50733683.98,0.001223221,train
TRANSPORTATION (OTHER) R&D,68841599.1,0.001659814,road
ECONOMIC GROWTH & PRODUCTIVITY R&D,187766661.8,0.004527173,chart
COMMUNITY SERVICE R&D,393791965.7,0.009494573,hands
EDUCATION R&D,126689438.1,0.003054562,graduation
ENVIRONMENTAL PROTECTION R&D,87086619.65,0.002099713,environment
ENERGY R&D,57415009.01,0.001384312,energy
NATURAL RESOURCES R&D,25377047.31,0.000611857,resources
MINING R&D,5822633.94,0.000140387,mining
HOUSING R&D,1704237.7,4.11E-05,house
INCOME SECURITY R&D,748605.91,1.80E-05,income-security
GEN. SCIENCE & TECHNOLOGY R&D,1528072146,0.036842786,science
MEDICAL R&D,2459404671,0.059297802,medicine
DEFENSE (OTHER) R&D,7368908259,0.177669037,shield
SPACE R&D,8130826649,0.196039371,planet
OTHER R&D,7245803372,0.174700901,gear
DEFENSE SYSTEMS R&D,13682725331,0.329899159,defense